ID,Title,Year,Authors,DBLP key,DOI,I1,I2,I3,I4,E1,E2,E3,Included,Final decision (arbiter),Main violation criterion (arbiter)
58,It Takes a Village to Build a Robot: An Empirical Study of The ROS Ecosystem.,2020,Sophia Kolak & Afsoon Afzal & Claire Le Goues & Michael Hilton & Christopher Steven Timperley,conf/icsm/KolakAGHT20,https://doi.org/10.1109/ICSME46990.2020.00048,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,Yes,,
72,Robotic system testing with AMSA framework.,2018,Hamza El Baccouri & Goulven Guillou & Jean-Philippe Babau,conf/models/BaccouriGB18,http://ceur-ws.org/Vol-2245/mdetools_paper_2.pdf,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,Yes,,
67,AC-ROS: assurance case driven adaptation for the robot operating system.,2020,Betty H. C. Cheng & Robert Jared Clark & Jonathon Emil Fleck & Michael Austin Langford & Philip K. McKinley,conf/models/ChengCFLM20,https://doi.org/10.1145/3365438.3410952,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,Yes,,
62,Bootstrapping MDE Development from ROS Manual Code - Part 2: Model Generation.,2019,Nadia Hammoudeh Garcia & Ludovic Delval & Mathias Lüdtke & André Santos 0001 & Björn Kahl & Mirko Bordignon,conf/models/GarciaDLSKB19,https://doi.org/10.1109/MODELS.2019.00-11,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,Yes,,
55,Generating a ROS/JAUS bridge for an autonomous ground vehicle.,2013,Patrick Morley & Alex Warren & Ethan Rabb & Sean Whitsitt & Matt Bunting & Jonathan Sprinkle,conf/oopsla/MorleyWRWBS13,https://doi.org/10.1145/2541928.2541931,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,Yes,,
125,Property-based testing for the robot operating system.,2018,André Santos 0001 & Alcino Cunha & Nuno Macedo,conf/sigsoft/0001CM18,https://doi.org/10.1145/3278186.3278195,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,Yes,,
124,Robotics software engineering: a perspective from the service robotics domain.,2020,Sergio García 0002 & Daniel Strüber 0001 & Davide Brugali & Thorsten Berger & Patrizio Pelliccione,conf/sigsoft/00020BBP20,https://doi.org/10.1145/3368089.3409743,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,Yes,,
212,Real-time control architecture based on Xenomai using ROS packages for a service robot.,2019,Raimarius Delgado & Bum-Jae You & Byoung-Wook Choi,journals/jss/DelgadoYC19,https://doi.org/10.1016/j.jss.2019.01.052,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,Yes,,
215,The Robot Operating System: Package reuse and community dynamics.,2019,Pablo Estefo & Jocelyn Simmonds & Romain Robbes & Johan Fabry,journals/jss/EstefoSRF19,https://doi.org/10.1016/j.jss.2019.02.024,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,Yes,,
137,Runtime Verification on Hierarchical Properties of ROS-Based Robot Swarms.,2020,Chi Hu & Wei Dong 0006 & Yonghui Yang & Hao Shi & Ge Zhou,journals/tr/HuDYSZ20,https://doi.org/10.1109/TR.2019.2923681,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,Yes,,
98,IoT-Based Activity Recognition for Process Assistance in Human-Robot Disaster Response.,2020,Adrian Rebmann & Jana-Rebecca Rehse & Mira Pinter & Marius Schnaubelt & Kevin Daun & Peter Fettke,conf/bpm/RebmannRPSDF20,https://doi.org/10.1007/978-3-030-58638-6_5,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,Yes,,
208,Live programming in practice: A controlled experiment on state machines for robotic behaviors.,2019,Miguel Campusano & Johan Fabry & Alexandre Bergel,journals/infsof/CampusanoFB19,https://doi.org/10.1016/j.infsof.2018.12.008,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,Yes,,
109,Feasible and stressful trajectory generation for mobile robots.,2020,Carl Hildebrandt & Sebastian G. Elbaum & Nicola Bezzo & Matthew B. Dwyer,conf/issta/HildebrandtEBD20,https://doi.org/10.1145/3395363.3397387,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,Yes,,
61,CommonLang: A DSL for Defining Robot Tasks.,2018,Adrian Rutle & Jonas Backer & Kolbein Foldøy & Robin T. Bye,conf/models/RutleBFB18,http://ceur-ws.org/Vol-2245/morse_paper_1.pdf,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,No,No,I1
195,Formal Specification and Verification of Autonomous Robotic Systems: A Survey.,2019,Matt Luckcuck & Marie Farrell & Louise A. Dennis & Clare Dixon & Michael Fisher 0001,journals/csur/LuckcuckFDDF19,https://doi.org/10.1145/3342355,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,No,No,I1
192,A Survey of Ontologies for Simultaneous Localization and Mapping in Mobile Robots.,2020,Maria A. Cornejo Lupa & Regina P. Ticona-Herrera & Yudith Cardinale & Dennis Barrios-Aranibar,journals/csur/LupaTCB20,https://doi.org/10.1145/3408316,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,No,No,I1
132,EUD-MARS: End-user development of model-driven adaptive robotics software systems.,2020,Pierre A. Akiki & Paul A. Akiki & Arosha K. Bandara & Yijun Yu,journals/scp/AkikiABY20,https://doi.org/10.1016/j.scico.2020.102534,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,No,,
43,Engineering the software of robotic systems.,2017,Federico Ciccozzi & Davide Di Ruscio & Ivano Malavolta & Patrizio Pelliccione & Jana Tumova,conf/icse/CiccozziRMPT17,https://doi.org/10.1109/ICSE-C.2017.167,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,No,,
77,Motion Session Types for Robotic Interactions (Brave New Idea Paper).,2019,Rupak Majumdar & Marcus Pirron & Nobuko Yoshida & Damien Zufferey,conf/ecoop/MajumdarPYZ19,https://doi.org/10.4230/LIPIcs.ECOOP.2019.28,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,No,,
111,Temporal Logic Semantics for Teleo-Reactive Robotic Agent Programs.,2019,Keith Clark & Brijesh Dongol & Peter Robinson 0007,conf/fm/ClarkDR19,https://doi.org/10.1007/978-3-030-54994-7_19,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,No,,
120,An Interaction-Driven Approach to Identifying Functional Behaviors of Service Robot Systems.,2012,Youngdo Cho & Hwangwook Kim & Dae-Kyoo Kim & Sooyong Park,conf/iceccs/ChoKKP12,http://doi.ieeecomputersociety.org/10.1109/ICECCS.2012.9,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,No,,
24,Using physical quantities in robot software models.,2018,Loli Burgueño & Tanja Mayerhofer & Manuel Wimmer & Antonio Vallecillo,conf/icse/BurguenoMWV18,https://doi.org/10.1145/3196558.3196562,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,No,,
3,Software architecture and task plan co-adaptation for mobile service robots.,2020,Javier Cámara & Bradley R. Schmerl & David Garlan,conf/icse/CamaraSG20,https://doi.org/10.1145/3387939.3391591,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,No,,
12,Live programming the behavioral layer of robots.,2017,Miguel Campusano,conf/icse/Campusano17,https://doi.org/10.1109/ICSE-C.2017.158,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,No,,
46,Formal verification of complex robotic systems on resource-constrained platforms.,2018,Mohammed Foughali & Bernard Berthomieu & Silvano Dal-Zilio & Pierre-Emmanuel Hladik & Félix Ingrand & Anthony Mallet,conf/icse/FoughaliBDHIM18,https://doi.org/10.1145/3193992.3193996,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,No,,
33,Effective engineering of multi-robot software applications.,2018,Sergio García 0002,conf/icse/Garcia18,https://doi.org/10.1145/3183440.3183445,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,No,,
37,Towards systematic engineering of collaborative heterogeneous robotic systems.,2019,Simos Gerasimou & Nicholas Matragkas & Radu Calinescu,conf/icse/GerasimouMC19,https://doi.org/10.1109/RoSE.2019.00012,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,No,,
25,Adaptive Run-Time Models for Groups of Autonomous Robots.,2015,Stefan Niemczyk & Kurt Geihs,conf/icse/NiemczykG15,https://doi.org/10.1109/SEAMS.2015.21,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,No,,
35,Model-driven software development approaches in robotics research.,2014,Arunkumar Ramaswamy & Bruno Monsuez & Adriana Tapus,conf/icse/RamaswamyMT14,https://doi.org/10.1145/2593770.2593781,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,No,,
16,Concurrent Software Engineering and Robotics Education.,2015,Jiwon Shin & Andrey Rusakov & Bertrand Meyer 0001,conf/icse/ShinRM15,https://doi.org/10.1109/ICSE.2015.169,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,No,,
88,A Study on Challenges of Testing Robotic Systems.,2020,Afsoon Afzal & Claire Le Goues & Michael Hilton & Christopher Steven Timperley,conf/icst/AfzalGHT20,https://doi.org/10.1109/ICST46399.2020.00020,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,No,,
86,Crashing Simulated Planes is Cheap: Can Simulation Detect Robotics Bugs Early?,2018,Christopher Steven Timperley & Afsoon Afzal & Deborah S. Katz & Jam Marcos Hernandez & Claire Le Goues,conf/icst/TimperleyAKHG18,http://doi.ieeecomputersociety.org/10.1109/ICST.2018.00040,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,No,,
82,Robotics Software Engineering and Certification: Issues and Challenges.,2018,Roberto Pietrantuono & Stefano Russo,conf/issre/PietrantuonoR18a,https://doi.org/10.1109/ISSREW.2018.00023,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,No,,
68,Executing Robot Task Models in Dynamic Environments.,2017,Kai Adam & Arvid Butting & Oliver Kautz & Bernhard Rumpe & Andreas Wortmann 0001,conf/models/AdamBKRW17,http://ceur-ws.org/Vol-2019/exe_3.pdf,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,No,,
75,A Domain-Specific Language for the Development of Heterogeneous Multi-robot Systems.,2019,Daneil Steen Losvik & Adrian Rutle,conf/models/LosvikR19,https://doi.org/10.1109/MODELS-C.2019.00085,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,No,,
71,Addressing Multi-Domain Integration Challenge in Robotics using Model-Based Approach.,2014,Arunkumar Ramaswamy & Bruno Monsuez & Adriana Tapus,conf/models/RamaswamyMT14,http://ceur-ws.org/Vol-1258/poster5.pdf,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,No,,
66,Modern C++ as a modeling language for automated driving and human-robot collaboration.,2016,Daniel Tuchscherer & Alexander Weibert & Frank Tränkle,conf/models/TuchschererWT16,http://dl.acm.org/citation.cfm?id=2976772,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,No,,
63,Design-Time Safety Assessment of Robotic Systems Using Fault Injection Simulation in a Model-Driven Approach.,2019,Garazi Juez Uriagereka & Estibaliz Amparan Calonge & Cristina Martinez Martinez & Jabier Martinez & Aurélien Ibanez & Matteo Morelli & Ansgar Radermacher & Huáscar Espinoza,conf/models/UriagerekaCMMIM19,https://doi.org/10.1109/MODELS-C.2019.00088,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,No,,
107,Robots at the Edge of the Cloud.,2016,Rupak Majumdar,conf/tacas/Majumdar16,https://doi.org/10.1007/978-3-662-49674-9_1,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,No,,
193,On Fault Detection and Diagnosis in Robotic Systems.,2018,Eliahu Khalastchi & Meir Kalech,journals/csur/KhalastchiK18,https://doi.org/10.1145/3146389,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,No,,
191,Multi-Robot Assembly Strategies and Metrics.,2018,Jeremy A. Marvel & Roger Bostelman & Joe Falco,journals/csur/MarvelBF18,https://doi.org/10.1145/3150225,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,No,,
217,Software architectures for robotic systems: A systematic mapping study.,2016,Aakash Ahmad & Muhammad Ali Babar,journals/jss/AhmadB16,https://doi.org/10.1016/j.jss.2016.08.039,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,No,,
223,Koord: a language for programming and verifying distributed robotics application.,2020,Ritwika Ghosh & Chiao Hsieh & Sasa Misailovic & Sayan Mitra,journals/pacmpl/GhoshHMM20,https://doi.org/10.1145/3428300,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,No,,
224,Multiparty motion coordination: from choreographies to robotics programs.,2020,Rupak Majumdar & Nobuko Yoshida & Damien Zufferey,journals/pacmpl/MajumdarYZ20,https://doi.org/10.1145/3428202,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,No,,
133,Live Robot Programming: The language; its implementation; and robot API independence.,2017,Miguel Campusano & Johan Fabry,journals/scp/CampusanoF17,https://doi.org/10.1016/j.scico.2016.06.002,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,No,,
129,A Python framework for programming autonomous robots using a declarative approach.,2017,Loris Fichera & Fabrizio Messina & Giuseppe Pappalardo & Corrado Santoro,journals/scp/FicheraMPS17,https://doi.org/10.1016/j.scico.2017.01.003,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,No,,
205,Buzz: A Programming Language for Robot Swarms.,2016,Carlo Pinciroli & Giovanni Beltrame,journals/software/PinciroliB16,https://doi.org/10.1109/MS.2016.95,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,No,,
202,Over-the-Air Updates for Robotic Swarms.,2018,Vivek Shankar Varadharajan & David St-Onge & Christian GuB & Giovanni Beltrame,journals/software/VaradharajanSGB18,https://doi.org/10.1109/MS.2018.111095718,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,No,,
126,RoboChart: modelling and verification of the functional behaviour of robotic applications.,2019,Alvaro Miyazawa & Pedro Ribeiro 0002 & Wei Li & Ana Cavalcanti & Jon Timmis & Jim Woodcock,journals/sosym/MiyazawaRLCTW19,https://doi.org/10.1007/s10270-018-00710-z,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,No,,
183,On the suitability of dynamic languages for hot-reprogramming a robotics framework: a Python case study.,2014,Francisco Ortin & Sheila Mendez Nunez & Vicente García-Díaz & Miguel García,journals/spe/OrtinNGG14,https://doi.org/10.1002/spe.2162,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,No,,
187,Porting and refactoring Prolog programs: the PROSYN case study.,2013,Edison Mera & Jan Wielemaker,journals/tplp/MeraW13,http://static.cambridge.org/resource/id/urn:cambridge.org:id:binary:20161018085635834-0697:S1471068413000112:tlp2013003.pdf,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,No,,
185,Human Robot Collaborative Assembly Planning: An Answer Set Programming Approach.,2020,Momina Rizwan & Volkan Patoglu & Esra Erdem 0001,journals/tplp/RizwanP020,https://doi.org/10.1017/S1471068420000319,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,No,,
97,Business Process Management: Blockchain and Robotic Process Automation Forum - BPM 2020 Blockchain and RPA Forum; Seville; Spain; September 13-18; 2020; Proceedings,2020,,conf/bpm/2020bc,https://doi.org/10.1007/978-3-030-58779-6,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,No,,
105,Research Challenges for Intelligent Robotic Process Automation.,2019,Simone Agostinelli & Andrea Marrella & Massimo Mecella,conf/bpm/AgostinelliMM19,https://doi.org/10.1007/978-3-030-37453-2_2,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,No,,
90,Beyond the Hype: RPA Horizon for Robot-Human Interaction.,2020,Rafael Cabello & María José Escalona & José González Enríquez,conf/bpm/CabelloEE20,https://doi.org/10.1007/978-3-030-58779-6_13,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,No,,
92,Minimal Effort Requirements Engineering for Robotic Process Automation with Test Driven Development and Screen Recording.,2017,Christoph Cewe & Daniel Koch & Robert Mertens,conf/bpm/CeweKM17,https://doi.org/10.1007/978-3-319-74030-0_51,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,No,,
94,From Robotic Process Automation to Intelligent Process Automation - - Emerging Trends -.,2020,Tathagata Chakraborti & Vatche Isahagian & Rania Khalaf & Yasaman Khazaeni & Vinod Muthusamy & Yara Rizk & Merve Unuvar,conf/bpm/ChakrabortiIKKM20,https://doi.org/10.1007/978-3-030-58779-6_15,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,No,,
101,RePROSitory: a Repository Platform for Sharing Business PROcess modelS.,2019,Flavio Corradini & Fabrizio Fornari & Andrea Polini & Barbara Re 0001 & Francesco Tiezzi,conf/bpm/CorradiniFP0T19,http://ceur-ws.org/Vol-2420/paperDT7.pdf,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,No,,
93,Process Mining and Robotic Process Automation: A Perfect Match.,2018,Jerome Geyer-Klingeberg & Janina Nakladal & Fabian Baldauf & Fabian Veit,conf/bpm/Geyer-Klingeberg18,http://ceur-ws.org/Vol-2196/BPM_2018_paper_28.pdf,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,No,,
102,A Consolidated Framework for Implementing Robotic Process Automation Projects.,2020,Lukas-Valentin Herm & Christian Janiesch & Alexander Helm & Florian Imgrund & Kevin Fuchs & Adrian Hofmann & Axel Winkelmann,conf/bpm/HermJHIFHW20,https://doi.org/10.1007/978-3-030-58666-9_27,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,No,,
103,Robotic Process Automation: Systematic Literature Review.,2019,Lucija Ivancic & Dalia Susa Vugec & Vesna Bosilj-Vuksic,conf/bpm/IvancicVB19,https://doi.org/10.1007/978-3-030-30429-4_19,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,No,,
106,Integrating Robotic Process Automation into Business Process Management.,2020,Maximilian König & Leon Bein & Adriatik Nikaj & Mathias Weske,conf/bpm/KonigBNW20,https://doi.org/10.1007/978-3-030-58779-6_9,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,No,,
104,Robidium: Automated Synthesis of Robotic Process Automation Scripts from UI Logs.,2020,Volodymyr Leno & Stanislav Deviatykh & Artem Polyvyanyy & Marcello La Rosa & Marlon Dumas & Fabrizio Maria Maggi,conf/bpm/LenoDPRDM20,http://ceur-ws.org/Vol-2673/paperDR08.pdf,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,No,,
91,Action Logger: Enabling Process Mining for Robotic Process Automation.,2019,Volodymyr Leno & Artem Polyvyanyy & Marcello La Rosa & Marlon Dumas & Fabrizio Maria Maggi,conf/bpm/LenoPRDM19,http://ceur-ws.org/Vol-2420/paperDT2.pdf,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,No,,
96,Adding Intelligent Robots to Business Processes: A Dilemma Analysis of Employees' Attitudes.,2020,Amy Van Looy,conf/bpm/Looy20,https://doi.org/10.1007/978-3-030-58666-9_25,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,No,,
95,COREPROSim: A Tool for Modeling; Simulating and Adapting Data-Driven Process Structures.,2008,Dominic Müller & Manfred Reichert & Joachim Herbst & Detlef Köntges & Andreas Neubert,conf/bpm/MullerRHKN08,https://doi.org/10.1007/978-3-540-85758-7_32,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,No,,
100,Is Robotic Process Automation Becoming Intelligent? Early Evidence of Influences of Artificial Intelligence on Robotic Process Automation.,2020,Johannes Viehhauser,conf/bpm/Viehhauser20,https://doi.org/10.1007/978-3-030-58779-6_7,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,No,,
99,A Framework to Evaluate the Viability of Robotic Process Automation for Business Process Activities.,2020,Christian Wellmann & Matthias Stierle & Sebastian Dunzer & Martin Matzner,conf/bpm/WellmannSDM20,https://doi.org/10.1007/978-3-030-58779-6_14,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,No,,
115,Analyzing Unsynthesizable Specifications for High-Level Robot Behavior Using LTLMoP.,2011,Vasumathi Raman & Hadas Kress-Gazit,conf/cav/RamanK11,https://doi.org/10.1007/978-3-642-22110-1_54,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,No,,
48,Enabling heterogeneous recommendations in OSS development: what's done and what's next in CROSSMINER.,2019,Phuong T. Nguyen & Juri Di Rocco & Davide Di Ruscio,conf/ease/NguyenRR19,https://doi.org/10.1145/3319008.3319353,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,No,,
78,A Study of Context-Oriented Programming for Applying to Robot Development.,2015,Harumi Watanabe & Midori Sugaya & Ikuta Tanigawa & Nobuhiko Ogura & Kenji Hisazumi,conf/ecoop/WatanabeSTOH15,https://doi.org/10.1145/2786545.2786551,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,No,,
1,Towards a Process to Design Architectures of Service-Oriented Robotic Systems.,2014,Lucas Bueno Ruas de Oliveira & Elena Leroux & Katia Romero Felizardo & Flávio Oquendo & Elisa Yumi Nakagawa,conf/ecsa/OliveiraLFON14,https://doi.org/10.1007/978-3-319-09970-5_20,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,No,,
2,Experiences Using a Component-Oriented Architectural Framework for Robots and Its Improvement with a MDE Approach.,2007,Francisco J. Ortiz & Juan A. Pastor & Diego Alonso & Bárbara Álvarez & Pedro Sánchez,conf/ecsa/OrtizPAAS07,https://doi.org/10.1007/978-3-540-75132-8_37,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,No,,
112,Multi-robot LTL Planning Under Uncertainty.,2018,Claudio Menghi & Sergio García 0002 & Patrizio Pelliccione & Jana Tumova,conf/fm/MenghiGPT18,https://doi.org/10.1007/978-3-319-95582-7_24,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,No,,
117,A New Approach for Analyzing Convergence Algorithms for Mobile Robots.,2011,Andreas Cord-Landwehr & Bastian Degener & Matthias Fischer 0001 & Martina Hüllmann & Barbara Kempkes & Alexander Klaas & Peter Kling & Sven Kurras & Marcus Märtens & Friedhelm Meyer auf der Heide & Christoph Raupach & Kamil Swierkot & Daniel Warner & Christoph Weddemann & Daniel Wonisch,conf/icalp/Cord-LandwehrDFHKKKKMHRSWWW11,https://doi.org/10.1007/978-3-642-22012-8_52,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,No,,
116,Localization for a System of Colliding Robots.,2013,Jurek Czyzowicz & Evangelos Kranakis & Eduardo Pacheco,conf/icalp/CzyzowiczKP13,https://doi.org/10.1007/978-3-642-39212-2_45,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,No,,
121,Towards Self-Healing Swarm Robotic Systems Inspired by Granuloma Formation.,2010,Amelia Ritahani Ismail & Jon Timmis,conf/iceccs/IsmailT10,https://doi.org/10.1109/ICECCS.2010.63,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,No,,
118,A Formal Framework for Reasoning Emergent Behaviors in Swarm Robotic Systems.,2015,Qin Li 0002 & Jinxun Wang & Qiwen Xu & Yanhong Huang & Huibiao Zhu,conf/iceccs/LiWXHZ15,https://doi.org/10.1109/ICECCS.2015.34,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,No,,
50,Using scheme to control simulated modular robots.,2012,Ulrik Pagh Schultz,conf/icfp/Schultz12,https://doi.org/10.1145/2661103.2661114,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,No,,
