ID,Title,Year,Authors,DBLP key,DOI,I1,I2,I3,I4,E1,E2,E3,Included,Final decision (arbiter),Main violation criterion (arbiter),Abstract
62,Bootstrapping MDE Development from ROS Manual Code - Part 2: Model Generation.,2019,Nadia Hammoudeh Garcia & Ludovic Delval & Mathias Lüdtke & André Santos 0001 & Björn Kahl & Mirko Bordignon,conf/models/GarciaDLSKB19,https://doi.org/10.1109/MODELS.2019.00-11,True,True,True,True,False,False,False,Yes,,,"In principle, Model-Driven Engineering (MDE) addresses central aspects of robotics software development. Domain experts could leverage the expressiveness of models; implementation details over different hardware could be handled by automatic code generation. In practice, most evidence points to manual code development as the norm, despite several MDE efforts in robotics. Possible reasons for this disconnect are the wide ranges of applications and target platforms making all-encompassing MDE IDEs hard to develop and maintain, with developers reverting to writing code manually. Acknowledging this, and given the opportunity to leverage a large corpus of open-source software widely adopted by the robotics community, we pursue modeling as a complement, rather than an alternative, to manually written code. Our previous work introduced metamodels to describe components, their interactions, and their resulting composition, as inspired by, but not limited to, the de-facto standard Robot Operating System (ROS). In this paper we put such metamodels into use through two contributions. First, we automate the generation of models from manually written artifacts through extraction from source code and runtime system monitoring. Second, we make available an easy-to-use web infrastructure to perform the extraction, together with a growing database of models so generated. Our aim with this tooling, publicly available both as-a-service and as source code, is to lower the MDE barrier for practitioners and leverage models to 1) improve the understanding of manually written code; 2) perform correctness checks; and 3) systematize the definition and adoption of best practices through large-scale generation of models from existing code. A comprehensive example is provided as a walk-through for robotics software practitioners."
55,Generating a ROS/JAUS bridge for an autonomous ground vehicle.,2013,Patrick Morley & Alex Warren & Ethan Rabb & Sean Whitsitt & Matt Bunting & Jonathan Sprinkle,conf/oopsla/MorleyWRWBS13,https://doi.org/10.1145/2541928.2541931,True,True,True,True,False,False,False,Yes,,,"Robotic systems have benefitted from standardized middleware that can componentize the development of new capabilities for a robot. The popularity of these robotic middleware systems has resulted in sizable libraries of components that are now available to roboticists. However, many robotic systems (such as autonomous vehicles) must adhere to externally defined standards that do not contain a large repository of components. Due to the real-time and safety concerns that accompany the domain of unmanned systems, it is not trivial to interface these middleware systems. However, previous attempts to do so have succeeded at the cost of ad hoc design and implementation. This paper describes a domain-specific approach to the synthesis of a bridge between the popular Robotic Operating System (ROS) and the Joint Architecture for Unmanned Systems (JAUS). The domain-specific nature of the approach permits the bridge to be limited in scope by the application's specific messages, resulting in smaller code size and overhead than would be incurred by a generic solution. Our approach is validated by tests performed on an unmanned vehicle with and without the JAUS/ROS bridge."
125,Property-based testing for the robot operating system.,2018,André Santos 0001 & Alcino Cunha & Nuno Macedo,conf/sigsoft/0001CM18,https://doi.org/10.1145/3278186.3278195,True,True,True,True,False,False,False,Yes,,,"The Robot Operating System (ROS) is an open source framework for the development of robotic software, in which a typical system consists of multiple processes communicating under a publisher-subscriber architecture. A great deal of development time goes into orchestration and making sure that the communication interfaces comply with the expected contracts. Orchestration mistakes are only detected during runtime, and often only after the system has been deployed. Property-based Testing is fitting in this context, since it is based on the specification of contracts and treats tested components as black boxes, but there is no support for it in ROS. In this paper, we present a first approach towards automatic generation of test scripts for property-based testing of various configurations of a ROS system."
124,Robotics software engineering: a perspective from the service robotics domain.,2020,Sergio García 0002 & Daniel Strüber 0001 & Davide Brugali & Thorsten Berger & Patrizio Pelliccione,conf/sigsoft/00020BBP20,https://doi.org/10.1145/3368089.3409743,True,True,True,True,False,False,False,Yes,,,"Robots that support humans by performing useful tasks (a.k.a., service robots) are booming worldwide. In contrast to industrial robots, the development of service robots comes with severe software engineering challenges, since they require high levels of robustness and autonomy to operate in highly heterogeneous environments. As a domain with critical safety implications, service robotics faces a need for sound software development practices. In this paper, we present the first large-scale empirical study to assess the state of the art and practice of robotics software engineering. We conducted 18 semi-structured interviews with industrial practitioners working in 15 companies from 9 different countries and a survey with 156 respondents from 26 countries from the robotics domain. Our results provide a comprehensive picture of (i) the practices applied by robotics industrial and academic practitioners, including processes, paradigms, languages, tools, frameworks, and reuse practices, (ii) the distinguishing characteristics of robotics software engineering, and (iii) recurrent challenges usually faced, together with adopted solutions. The paper concludes by discussing observations, derived hypotheses, and proposed actions for researchers and practitioners."
212,Real-time control architecture based on Xenomai using ROS packages for a service robot.,2019,Raimarius Delgado & Bum-Jae You & Byoung-Wook Choi,journals/jss/DelgadoYC19,https://doi.org/10.1016/j.jss.2019.01.052,True,True,True,True,False,False,False,Yes,,,"Abstract This paper proposes a real-time (RT) control architecture based on Xenomai, an RT embedded Linux, to control a service robot along with non-real-time (NRT) robot operating system (ROS) packages. Most software, including device drivers and ROS, are developed to operate under the standard Linux kernel that does not provide RT guarantees. Standard Linux system calls in an RT context stimulates mode switching, resulting in non-deterministic responses and stability problems such as priority inversion and kernel panic. This paper overcomes such issues through a communication interface between RT and NRT tasks, termed cross-domain datagram protocol. The proposed architecture supports priority-based scheduling of multiple tasks while exposing an interface compatible with the original ROS packages. Moreover, it enables standard device driver operation inside RT tasks without developing RT device drivers that requires significant amount of development time. Feasibility is proven by implementation on a Raspberry Pi 3, a low-cost open embedded hardware platform, and conducted various experiments to analyze its performance and applied it to a service robot using ROS navigation packages. The results indicate that the proposed architecture can effectively provide an RT environment without stability issues when utilizing ROS packages and standard device drivers."
215,The Robot Operating System: Package reuse and community dynamics.,2019,Pablo Estefo & Jocelyn Simmonds & Romain Robbes & Johan Fabry,journals/jss/EstefoSRF19,https://doi.org/10.1016/j.jss.2019.02.024,True,True,True,True,False,False,False,Yes,,,"Abstract ROS, the Robot Operating System, offers a core set of software for operating robots that can be extended by creating or using existing packages, making it possible to write robotic software that can be reused on different hardware platforms. With thousands of packages available per stable distribution, encapsulating algorithms, sensor drivers, etc., it is the de facto middleware for robotics. Like any software ecosystem, ROS must evolve in order to keep meeting the requirements of its users. In practice, packages may end up being abandoned between releases: no one may be available to update a package, or newer packages offer similar functionality. As such, we wanted to identify and understand the evolution challenges faced by the ROS ecosystem. In this article, we report our findings after interviewing 19 ROS developers in depth, followed by a focus group (4 participants) and an online survey of 119 ROS community members. We specifically focused on the issues surrounding package reuse and how to contribute to existing packages. To conclude, we discuss the implications of our findings, and propose five recommendations for overcoming the identified issues, with the goal of improving the health of the ROS ecosystem."
137,Runtime Verification on Hierarchical Properties of ROS-Based Robot Swarms.,2020,Chi Hu & Wei Dong 0006 & Yonghui Yang & Hao Shi & Ge Zhou,journals/tr/HuDYSZ20,https://doi.org/10.1109/TR.2019.2923681,True,True,True,True,False,False,False,Yes,,,"Various robots are playing critical roles in many areas such as industrial manufacturing, disaster rescuing, unmanned vehicle, and science exploration. Because of the uncertain environment, changed resource, or dynamic system structure at runtime, traditional methods such as testing, model checking, and static analysis used in the development stage are not enough to ensure that the executions of robot control software satisfy specified properties. In this paper, we propose a runtime verification approach called Robots Monitor on Multilayer (RMoM) based on robot operating system (ROS) for monitoring whether the running of a robot swarm violates given temporal properties. To monitor robot system in a comprehensive manner over multiple layers, RMoM unifies resource, communication, robot, and swarm properties into a systemic, hierarchical monitoring framework. A discrete-time Metric Temporal Logic (MTL<inline-formula><tex-math notation=""LaTeX"">$_3$</tex-math></inline-formula>) RMoM is proposed for specifying properties with timed and parameterized characteristics in robot swarms. Then, the corresponding three-valued semantics is defined for MTL<inline-formula><tex-math notation=""LaTeX"">$_3$</tex-math></inline-formula>-RMoM to generate impartial and anticipatory monitors. Moreover, a hierarchical monitoring specification language high-level specification language (HSL)-RMoM and a series of monitor construction algorithms are proposed to automatically generate monitors for MTL<inline-formula><tex-math notation=""LaTeX"">$_3$</tex-math></inline-formula>-RMoM properties on ROS platform. The experiments show that the method can automatically generate the monitors for detecting properties of robot swarms."
98,IoT-Based Activity Recognition for Process Assistance in Human-Robot Disaster Response.,2020,Adrian Rebmann & Jana-Rebecca Rehse & Mira Pinter & Marius Schnaubelt & Kevin Daun & Peter Fettke,conf/bpm/RebmannRPSDF20,https://doi.org/10.1007/978-3-030-58638-6_5,True,True,True,True,False,False,False,Yes,,,"Mobile robots like drones or ground vehicles can be a valuable addition to emergency response teams, because they reduce the risk and the burden for human team members. However, the need to manage and coordinate human-robot team operations during ongoing missions adds an additional dimension to an already complex and stressful situation. BPM approaches can help to visualize and document the disaster response processes underlying a mission. In this paper, we show how data from a ground robot's reconnaissance run can be used to provide process assistance to the officers. By automatically recognizing executed activities and structuring them as an ad-hoc process instance, we are able to document the executed process and provide real-time information about the mission status. The resulting mission progress process model can be used for additional services, such as officer training or mission documentation. Our approach is implemented as a prototype and demonstrated using data from an ongoing research project on rescue robotics."
208,Live programming in practice: A controlled experiment on state machines for robotic behaviors.,2019,Miguel Campusano & Johan Fabry & Alexandre Bergel,journals/infsof/CampusanoFB19,https://doi.org/10.1016/j.infsof.2018.12.008,True,True,True,True,False,False,False,Yes,,,"Abstract Context Live programming environments are gaining momentum across multiple programming languages. A tenet of live programming is a development feedback cycle, resulting in faster development practices. Although practitioners of live programming consider it a positive inclusion in their workflow, no in-depth investigations have yet been conducted on its benefits in a realistic scenario, nor using complex API. Objective This paper carefully studies the advantage of using live programming in defining nested state machines for robot behaviors. We analyzed two important aspects of developing robotic behaviors using these machines: program comprehension and program writing. We analyzed both development practices in terms of speed and accuracy. Method We conducted two controlled experiments, one for program comprehension and another for program writing. We measured the speed and accuracy of randomized assigned participants on completing programming tasks, against a baseline. Results In a robotic behavior context, we found that a live programming system for nested state machine programs does not significantly outperform a non-live language in program comprehension nor in program writing in terms of speed and accuracy. However, the feedback of test subjects indicates their preference for the live programming system. Conclusions The results of this work seem to contradict the studies of live programming in other areas, even while participants still favor using live programming techniques. We learned that the complex API chosen in this work has a strong negative influence on the results. To the best of our knowledge, this is the first in-depth live programming experiment in a complex domain."
109,Feasible and stressful trajectory generation for mobile robots.,2020,Carl Hildebrandt & Sebastian G. Elbaum & Nicola Bezzo & Matthew B. Dwyer,conf/issta/HildebrandtEBD20,https://doi.org/10.1145/3395363.3397387,True,True,True,True,False,False,False,Yes,,,"While executing nominal tests on mobile robots is required for their validation, such tests may overlook faults that arise under trajectories that accentuate certain aspects of the robot's behavior. Uncovering such stressful trajectories is challenging as the input space for these systems, as they move, is extremely large, and the relation between a planned trajectory and its potential to induce stress can be subtle. To address this challenge we propose a framework that 1) integrates kinematic and dynamic physical models of the robot into the automated trajectory generation in order to generate valid trajectories, and 2) incorporates a parameterizable scoring model to efficiently generate physically valid yet stressful trajectories for a broad range of mobile robots. We evaluate our approach on four variants of a state-of-the-art quadrotor in a racing simulator. We find that, for non-trivial length trajectories, the incorporation of the kinematic and dynamic model is crucial to generate any valid trajectory, and that the approach with the best hand-crafted scoring model and with a trained scoring model can cause on average a 55.9% and 41.3% more stress than a random selection among valid trajectories. A follow-up study shows that the approach was able to induce similar stress on a deployed commercial quadrotor, with trajectories that deviated up to 6m from the intended ones."
61,CommonLang: A DSL for Defining Robot Tasks.,2018,Adrian Rutle & Jonas Backer & Kolbein Foldøy & Robin T. Bye,conf/models/RutleBFB18,http://ceur-ws.org/Vol-2245/morse_paper_1.pdf,False,True,True,True,False,False,False,No,No,I1,"Robots are becoming more and more complex and heterogeneous; their abilities and domains of usage are increasing exponentially. Programming these robots requires special skills and usually does not follow standard software engineering methodologies. Adhering to model-driven software engineering principles, the definition of robot behavior is abstracted and represented in models while robot-specific code is generated from these models using code generation. With a robot modeling framework, we can work on a higher abstraction level, making the task of programming complex heterogeneous robots more efficient. In this paper, we present a prototype framework, CommonLang (CoL), which uses MDSE techniques to abstract away from underlying technologies and create executable code for various different robot platforms using code generation."
195,Formal Specification and Verification of Autonomous Robotic Systems: A Survey.,2019,Matt Luckcuck & Marie Farrell & Louise A. Dennis & Clare Dixon & Michael Fisher 0001,journals/csur/LuckcuckFDDF19,https://doi.org/10.1145/3342355,False,True,True,True,False,False,False,No,No,I1,"Autonomous robotic systems are complex, hybrid, and often safety critical; this makes their formal specification and verification uniquely challenging. Though commonly used, testing and simulation alone are insufficient to ensure the correctness of, or provide sufficient evidence for the certification of, autonomous robotics. Formal methods for autonomous robotics have received some attention in the literature, but no resource provides a current overview. This article systematically surveys the state of the art in formal specification and verification for autonomous robotics. Specially, it identifies and categorizes the challenges posed by, the formalisms aimed at, and the formal approaches for the specification and verification of autonomous robotics."
192,A Survey of Ontologies for Simultaneous Localization and Mapping in Mobile Robots.,2020,Maria A. Cornejo Lupa & Regina P. Ticona-Herrera & Yudith Cardinale & Dennis Barrios-Aranibar,journals/csur/LupaTCB20,https://doi.org/10.1145/3408316,False,True,True,True,False,False,False,No,No,I1,"Autonomous robots are playing important roles in academic, technological, and scientific activities. Thus, their behavior is getting more complex, particularly, in tasks related to mapping an environment and localizing themselves. These tasks comprise the Simultaneous Localization and Mapping (SLAM) problem. Representation of knowledge related to the SLAM problem with a standard, flexible, and well-defined model, provides the base to develop efficient and interoperable solutions. As many existing works demonstrate, Semantic Web seems to be a clear approach, since they have formulated ontologies, as the base data model to represent such knowledge. In this article, we survey the most popular and recent SLAM ontologies with our aim being threefold: (i) propose a classification of SLAM ontologies according to the main knowledge needed to model the SLAM problem; (ii) identify existing ontologies for classifying, comparing, and contrasting them, in order to conceptualize SLAM domain for mobile robots; and (iii) pin-down lessons to learn from existing solutions in order to design better solutions and identify new research directions and further improvements. We compare the identified SLAM ontologies according to the proposed classification and, finally, we explore new data fields to enrich existing ontologies and highlight new possibilities in terms of performance and efficiency for SLAM solutions."
132,EUD-MARS: End-user development of model-driven adaptive robotics software systems.,2020,Pierre A. Akiki & Paul A. Akiki & Arosha K. Bandara & Yijun Yu,journals/scp/AkikiABY20,https://doi.org/10.1016/j.scico.2020.102534,False,True,True,True,False,False,False,No,,,"Abstract Empowering end-users to program robots is becoming more significant. Introducing software engineering principles into end-user programming could improve the quality of the developed software applications. For example, model-driven development improves technology independence and adaptive systems act upon changes in their context of use. However, end-users need to apply such principles in a non-daunting manner and without incurring a steep learning curve. This paper presents EUD-MARS that aims to provide end-users with a simple approach for developing model-driven adaptive robotics software. End-users include people like hobbyists and students who are not professional programmers but are interested in programming robots. EUD-MARS supports robots like hobby drones and educational humanoids that are available for end-users. It offers a tool for software developers and another one for end-users. We evaluated EUD-MARS from three perspectives. First, we used EUD-MARS to program different types of robots and assessed its visual programming language against existing design principles. Second, we asked software developers to use EUD-MARS to configure robots and obtained their feedback on strengths and points for improvement. Third, we observed how end-users explain and develop EUD-MARS programs, and obtained their feedback mainly on understandability, ease of programming, and desirability. These evaluations yielded positive indications of EUD-MARS."
